SSID,Taken,Desc,Schl Yr,GR,Abbreviation,Score,MaxScore
100100,2/1/2013,MATH,2013,1,SBA,2115,2500
100100,2/2/2013,ENGLISH,2013,1,SBA,1054,2500
100100,2/1/2014,MATH,2014,2,SBA,2211,2500
100100,2/2/2014,ENGLISH,2014,2,SBA,1687,2500
100100,2/1/2015,MATH,2015,3,SBA,1159,2500
100100,2/2/2015,ENGLISH,2015,3,SBA,1318,2500
100100,5/1/2016,MATH,2016,4,MSP,1,5
100100,5/2/2016,ENGLISH,2016,4,MSP,4,5
100200,2/1/2013,MATH,2013,1,SBA,1981,2500
100200,2/2/2013,ENGLISH,2013,1,SBA,2151,2500
100200,2/1/2014,MATH,2014,2,SBA,1880,2500
100200,2/2/2014,ENGLISH,2014,2,SBA,1379,2500
100200,2/1/2015,MATH,2015,3,SBA,2154,2500
100200,2/2/2015,ENGLISH,2015,3,SBA,2157,2500
100200,5/1/2016,MATH,2016,4,MSP,4,5
100200,5/2/2016,ENGLISH,2016,4,MSP,4,5
100300,2/1/2013,MATH,2013,1,SBA,1445,2500
100300,2/2/2013,ENGLISH,2013,1,SBA,2017,2500
100300,2/1/2014,MATH,2014,2,SBA,1257,2500
100300,2/2/2014,ENGLISH,2014,2,SBA,2465,2500
100300,2/1/2015,MATH,2015,3,SBA,2189,2500
100300,2/2/2015,ENGLISH,2015,3,SBA,2492,2500
100300,5/1/2016,MATH,2016,4,MSP,0,5
100300,5/2/2016,ENGLISH,2016,4,MSP,3,5
100400,2/1/2013,MATH,2013,1,SBA,1807,2500
100400,2/2/2013,ENGLISH,2013,1,SBA,1722,2500
100400,2/1/2014,MATH,2014,2,SBA,2195,2500
100400,2/2/2014,ENGLISH,2014,2,SBA,1315,2500
100400,2/1/2015,MATH,2015,3,SBA,1657,2500
100400,2/2/2015,ENGLISH,2015,3,SBA,2063,2500
100400,5/1/2016,MATH,2016,4,MSP,0,5
100400,5/2/2016,ENGLISH,2016,4,MSP,3,5
100500,2/1/2013,MATH,2013,1,SBA,1052,2500
100500,2/2/2013,ENGLISH,2013,1,SBA,2074,2500
100500,2/1/2014,MATH,2014,2,SBA,1035,2500
100500,2/2/2014,ENGLISH,2014,2,SBA,1958,2500
100500,2/1/2015,MATH,2015,3,SBA,1461,2500
100500,2/2/2015,ENGLISH,2015,3,SBA,2268,2500
100500,5/1/2016,MATH,2016,4,MSP,2,5
100500,5/2/2016,ENGLISH,2016,4,MSP,3,5
100600,2/1/2013,MATH,2013,1,SBA,1046,2500
100600,2/2/2013,ENGLISH,2013,1,SBA,2346,2500
100600,2/1/2014,MATH,2014,2,SBA,1412,2500
100600,2/2/2014,ENGLISH,2014,2,SBA,1465,2500
100600,2/1/2015,MATH,2015,3,SBA,2454,2500
100600,2/2/2015,ENGLISH,2015,3,SBA,1376,2500
100600,5/1/2016,MATH,2016,4,MSP,2,5
100600,5/2/2016,ENGLISH,2016,4,MSP,0,5
100700,2/1/2013,MATH,2013,1,SBA,1888,2500
100700,2/2/2013,ENGLISH,2013,1,SBA,1583,2500
100700,2/1/2014,MATH,2014,2,SBA,1860,2500
100700,2/2/2014,ENGLISH,2014,2,SBA,1269,2500
100700,2/1/2015,MATH,2015,3,SBA,1141,2500
100700,2/2/2015,ENGLISH,2015,3,SBA,1483,2500
100700,5/1/2016,MATH,2016,4,MSP,3,5
100700,5/2/2016,ENGLISH,2016,4,MSP,2,5
100800,2/1/2013,MATH,2013,1,SBA,2058,2500
100800,2/2/2013,ENGLISH,2013,1,SBA,1966,2500
100800,2/1/2014,MATH,2014,2,SBA,2063,2500
100800,2/2/2014,ENGLISH,2014,2,SBA,2068,2500
100800,2/1/2015,MATH,2015,3,SBA,1824,2500
100800,2/2/2015,ENGLISH,2015,3,SBA,2194,2500
100800,5/1/2016,MATH,2016,4,MSP,2,5
100800,5/2/2016,ENGLISH,2016,4,MSP,3,5
100900,2/1/2013,MATH,2013,1,SBA,2118,2500
100900,2/2/2013,ENGLISH,2013,1,SBA,2313,2500
100900,2/1/2014,MATH,2014,2,SBA,2272,2500
100900,2/2/2014,ENGLISH,2014,2,SBA,2109,2500
100900,2/1/2015,MATH,2015,3,SBA,1424,2500
100900,2/2/2015,ENGLISH,2015,3,SBA,1677,2500
100900,5/1/2016,MATH,2016,4,MSP,3,5
100900,5/2/2016,ENGLISH,2016,4,MSP,3,5
101000,2/1/2013,MATH,2013,1,SBA,2006,2500
101000,2/2/2013,ENGLISH,2013,1,SBA,1876,2500
101000,2/1/2014,MATH,2014,2,SBA,1395,2500
101000,2/2/2014,ENGLISH,2014,2,SBA,2493,2500
101000,2/1/2015,MATH,2015,3,SBA,2166,2500
101000,2/2/2015,ENGLISH,2015,3,SBA,1424,2500
101000,5/1/2016,MATH,2016,4,MSP,1,5
101000,5/2/2016,ENGLISH,2016,4,MSP,0,5
101100,2/1/2013,MATH,2013,1,SBA,2263,2500
101100,2/2/2013,ENGLISH,2013,1,SBA,1597,2500
101100,2/1/2014,MATH,2014,2,SBA,1215,2500
101100,2/2/2014,ENGLISH,2014,2,SBA,1328,2500
101100,2/1/2015,MATH,2015,3,SBA,2399,2500
101100,2/2/2015,ENGLISH,2015,3,SBA,1026,2500
101100,5/1/2016,MATH,2016,4,MSP,1,5
101100,5/2/2016,ENGLISH,2016,4,MSP,4,5
101200,2/1/2013,MATH,2013,1,SBA,2151,2500
101200,2/2/2013,ENGLISH,2013,1,SBA,2397,2500
101200,2/1/2014,MATH,2014,2,SBA,1315,2500
101200,2/2/2014,ENGLISH,2014,2,SBA,1266,2500
101200,2/1/2015,MATH,2015,3,SBA,2088,2500
101200,2/2/2015,ENGLISH,2015,3,SBA,2179,2500
101200,5/1/2016,MATH,2016,4,MSP,2,5
101200,5/2/2016,ENGLISH,2016,4,MSP,0,5
101300,2/1/2013,MATH,2013,1,SBA,2165,2500
101300,2/2/2013,ENGLISH,2013,1,SBA,1817,2500
101300,2/1/2014,MATH,2014,2,SBA,1915,2500
101300,2/2/2014,ENGLISH,2014,2,SBA,2282,2500
101300,2/1/2015,MATH,2015,3,SBA,1975,2500
101300,2/2/2015,ENGLISH,2015,3,SBA,1130,2500
101300,5/1/2016,MATH,2016,4,MSP,1,5
101300,5/2/2016,ENGLISH,2016,4,MSP,3,5
101400,2/1/2013,MATH,2013,1,SBA,1280,2500
101400,2/2/2013,ENGLISH,2013,1,SBA,1542,2500
101400,2/1/2014,MATH,2014,2,SBA,1975,2500
101400,2/2/2014,ENGLISH,2014,2,SBA,1373,2500
101400,2/1/2015,MATH,2015,3,SBA,2205,2500
101400,2/2/2015,ENGLISH,2015,3,SBA,1660,2500
101400,5/1/2016,MATH,2016,4,MSP,3,5
101400,5/2/2016,ENGLISH,2016,4,MSP,0,5
101500,2/1/2013,MATH,2013,1,SBA,1237,2500
