SSID,Taken,Desc,Schl Yr,GR,Abbreviation,Score,MaxScore
100100,2/1/2015,MATH,2015,3,SBA,1159,2500
100100,5/1/2016,MATH,2016,4,MSP,1,5
100200,2/1/2015,MATH,2015,3,SBA,2154,2500
100200,5/1/2016,MATH,2016,4,MSP,4,5
100300,2/1/2015,MATH,2015,3,SBA,2189,2500
100300,5/1/2016,MATH,2016,4,MSP,0,5
100400,2/1/2015,MATH,2015,3,SBA,1657,2500
100400,5/1/2016,MATH,2016,4,MSP,0,5
100500,2/1/2015,MATH,2015,3,SBA,1461,2500
100500,5/1/2016,MATH,2016,4,MSP,2,5
100600,2/1/2015,MATH,2015,3,SBA,2454,2500
100600,5/1/2016,MATH,2016,4,MSP,2,5
100700,2/1/2015,MATH,2015,3,SBA,1141,2500
100700,5/1/2016,MATH,2016,4,MSP,3,5
100800,2/1/2015,MATH,2015,3,SBA,1824,2500
100800,5/1/2016,MATH,2016,4,MSP,2,5
100900,2/1/2015,MATH,2015,3,SBA,1424,2500
100900,5/1/2016,MATH,2016,4,MSP,3,5
101000,2/1/2015,MATH,2015,3,SBA,2166,2500
101000,5/1/2016,MATH,2016,4,MSP,1,5
101100,2/1/2015,MATH,2015,3,SBA,2399,2500
101100,5/1/2016,MATH,2016,4,MSP,1,5
101200,2/1/2015,MATH,2015,3,SBA,2088,2500
101200,5/1/2016,MATH,2016,4,MSP,2,5
101300,2/1/2015,MATH,2015,3,SBA,1975,2500
101300,5/1/2016,MATH,2016,4,MSP,1,5
101400,2/1/2015,MATH,2015,3,SBA,2205,2500
101400,5/1/2016,MATH,2016,4,MSP,3,5
101500,2/1/2015,MATH,2015,3,SBA,1956,2500
101500,5/1/2016,MATH,2016,4,MSP,3,5
101600,2/1/2015,MATH,2015,3,SBA,1021,2500
101600,5/1/2016,MATH,2016,4,MSP,2,5
101700,2/1/2015,MATH,2015,3,SBA,1772,2500
101700,5/1/2016,MATH,2016,4,MSP,4,5
101800,2/1/2015,MATH,2015,3,SBA,1382,2500
101800,5/1/2016,MATH,2016,4,MSP,3,5
101900,2/1/2015,MATH,2015,3,SBA,2101,2500
101900,5/1/2016,MATH,2016,4,MSP,0,5
102000,2/1/2015,MATH,2015,3,SBA,2440,2500
102000,5/1/2016,MATH,2016,4,MSP,2,5
102100,2/1/2015,MATH,2015,3,SBA,1726,2500
102100,5/1/2016,MATH,2016,4,MSP,3,5
102200,2/1/2015,MATH,2015,3,SBA,1063,2500
102200,5/1/2016,MATH,2016,4,MSP,2,5
102300,2/1/2015,MATH,2015,3,SBA,2459,2500
102300,5/1/2016,MATH,2016,4,MSP,4,5
102400,2/1/2015,MATH,2015,3,SBA,2355,2500
102400,5/1/2016,MATH,2016,4,MSP,4,5
102500,2/1/2015,MATH,2015,3,SBA,2401,2500
102500,5/1/2016,MATH,2016,4,MSP,1,5
102600,2/1/2015,MATH,2015,3,SBA,1916,2500
102600,5/1/2016,MATH,2016,4,MSP,0,5
102700,2/1/2015,MATH,2015,3,SBA,2395,2500
102700,5/1/2016,MATH,2016,4,MSP,2,5
102800,2/1/2015,MATH,2015,3,SBA,1675,2500
102800,5/1/2016,MATH,2016,4,MSP,2,5
102900,2/1/2015,MATH,2015,3,SBA,2387,2500
102900,5/1/2016,MATH,2016,4,MSP,3,5
103000,2/1/2015,MATH,2015,3,SBA,1466,2500
103000,5/1/2016,MATH,2016,4,MSP,3,5
103100,2/1/2015,MATH,2015,3,SBA,1155,2500
103100,5/1/2016,MATH,2016,4,MSP,1,5
103200,2/1/2015,MATH,2015,3,SBA,2140,2500
103200,5/1/2016,MATH,2016,4,MSP,5,5
103300,2/1/2015,MATH,2015,3,SBA,1510,2500
103300,5/1/2016,MATH,2016,4,MSP,2,5
103400,2/1/2015,MATH,2015,3,SBA,2059,2500
103400,5/1/2016,MATH,2016,4,MSP,3,5
103500,2/1/2015,MATH,2015,3,SBA,1540,2500
103500,5/1/2016,MATH,2016,4,MSP,1,5
103600,2/1/2015,MATH,2015,3,SBA,1979,2500
103600,5/1/2016,MATH,2016,4,MSP,3,5
103700,2/1/2015,MATH,2015,3,SBA,2222,2500
103700,5/1/2016,MATH,2016,4,MSP,2,5
103800,2/1/2015,MATH,2015,3,SBA,1312,2500
103800,5/1/2016,MATH,2016,4,MSP,5,5
103900,2/1/2015,MATH,2015,3,SBA,2077,2500
103900,5/1/2016,MATH,2016,4,MSP,5,5
104000,2/1/2015,MATH,2015,3,SBA,1242,2500
104000,5/1/2016,MATH,2016,4,MSP,4,5
104100,2/1/2015,MATH,2015,3,SBA,1517,2500
104100,5/1/2016,MATH,2016,4,MSP,4,5
104200,2/1/2015,MATH,2015,3,SBA,2391,2500
104200,5/1/2016,MATH,2016,4,MSP,1,5
104300,2/1/2015,MATH,2015,3,SBA,1517,2500
104300,5/1/2016,MATH,2016,4,MSP,1,5
104400,2/1/2015,MATH,2015,3,SBA,2047,2500
104400,5/1/2016,MATH,2016,4,MSP,4,5
104500,2/1/2015,MATH,2015,3,SBA,1314,2500
104500,5/1/2016,MATH,2016,4,MSP,5,5
104600,2/1/2015,MATH,2015,3,SBA,2155,2500
104600,5/1/2016,MATH,2016,4,MSP,5,5
104700,2/1/2015,MATH,2015,3,SBA,1878,2500
104700,5/1/2016,MATH,2016,4,MSP,0,5
104800,2/1/2015,MATH,2015,3,SBA,1733,2500
104800,5/1/2016,MATH,2016,4,MSP,1,5
104900,2/1/2015,MATH,2015,3,SBA,1565,2500
104900,5/1/2016,MATH,2016,4,MSP,4,5
105000,2/1/2015,MATH,2015,3,SBA,1553,2500
105000,5/1/2016,MATH,2016,4,MSP,3,5
105100,2/1/2015,MATH,2015,3,SBA,2363,2500
105100,5/1/2016,MATH,2016,4,MSP,2,5
105200,2/1/2015,MATH,2015,3,SBA,1798,2500
105200,5/1/2016,MATH,2016,4,MSP,2,5
105300,2/1/2015,MATH,2015,3,SBA,1888,2500
105300,5/1/2016,MATH,2016,4,MSP,3,5
105400,2/1/2015,MATH,2015,3,SBA,1285,2500
105400,5/1/2016,MATH,2016,4,MSP,5,5
105500,2/1/2015,MATH,2015,3,SBA,1653,2500
105500,5/1/2016,MATH,2016,4,MSP,4,5
105600,2/1/2015,MATH,2015,3,SBA,1847,2500
105600,5/1/2016,MATH,2016,4,MSP,1,5
105700,2/1/2015,MATH,2015,3,SBA,1301,2500
105700,5/1/2016,MATH,2016,4,MSP,3,5
105800,2/1/2015,MATH,2015,3,SBA,1732,2500
105800,5/1/2016,MATH,2016,4,MSP,4,5
105900,2/1/2015,MATH,2015,3,SBA,2279,2500
105900,5/1/2016,MATH,2016,4,MSP,1,5
106000,2/1/2015,MATH,2015,3,SBA,2039,2500
106000,5/1/2016,MATH,2016,4,MSP,1,5
106100,2/1/2015,MATH,2015,3,SBA,2458,2500
106100,5/1/2016,MATH,2016,4,MSP,2,5
106200,2/1/2015,MATH,2015,3,SBA,2189,2500
106200,5/1/2016,MATH,2016,4,MSP,1,5
106300,2/1/2015,MATH,2015,3,SBA,1131,2500
106300,5/1/2016,MATH,2016,4,MSP,0,5
106400,2/1/2015,MATH,2015,3,SBA,1213,2500
106400,5/1/2016,MATH,2016,4,MSP,1,5
106500,2/1/2015,MATH,2015,3,SBA,2410,2500
106500,5/1/2016,MATH,2016,4,MSP,4,5
106600,2/1/2015,MATH,2015,3,SBA,2177,2500
106600,5/1/2016,MATH,2016,4,MSP,3,5
106700,2/1/2015,MATH,2015,3,SBA,1049,2500
106700,5/1/2016,MATH,2016,4,MSP,2,5
106800,2/1/2015,MATH,2015,3,SBA,1524,2500
106800,5/1/2016,MATH,2016,4,MSP,4,5
106900,2/1/2015,MATH,2015,3,SBA,1085,2500
106900,5/1/2016,MATH,2016,4,MSP,3,5
107000,2/1/2015,MATH,2015,3,SBA,1712,2500
